Radius (nm),Exchange Interaction (kJ/m3),DM Interaction (kJ/m3),Demagnetization (kJ/m3),Total Energy (kJ/m3)
0.0,59.81739857140316,-100.41035438447345,2.3616343897061567,-38.23132142336414
0.53,59.81739857140315,-100.41035438447345,2.3616343897061567,-38.23132142336414
1.06,59.912428325045234,-100.48730538336584,2.3612885600439744,-38.21358849827663
1.59,60.039509682489964,-100.58925434892252,2.3610832975327747,-38.18866136889978
2.12,60.241430291472895,-100.74233490940183,2.361013248139496,-38.13989136978944
2.6500000000000004,60.48501912311832,-100.92126242759122,2.3617399483810972,-38.074503356091796
3.18,60.80345271578246,-101.14479944738416,2.3633815123117357,-37.97796521928994
3.7100000000000004,61.171088396147304,-101.39318678046523,2.366811921781472,-37.85528646253646
4.24,61.61924326833483,-101.67338736461792,2.372320232626222,-37.681823863656874
4.7700000000000005,62.12623109050791,-101.97093341529593,2.3809100969862387,-37.463792227801804
5.300000000000001,62.72369835288449,-102.28997803248832,2.392997047096504,-37.173282632507316
5.83,63.39249885074352,-102.6194307510218,2.409624706438822,-36.81730719383947
6.36,64.16621851413709,-102.9595499018816,2.4314027302962007,-36.36192865744832
6.890000000000001,65.02716769945374,-103.30159032901085,2.4593057220414054,-35.8151169075157
7.420000000000001,66.01263176954278,-103.6423347795783,2.493997231920603,-35.13570577811493
7.95,67.10583461564588,-103.97481008910852,2.5363920304505223,-34.33258344301212
8.48,68.34844751443278,-104.29725964197908,2.587381190133728,-33.36143093741257
9.010000000000002,69.72507779138404,-104.60373760997382,2.6477360375446284,-32.23092378104517
9.540000000000001,71.28518594014085,-104.89379256154893,2.7182809859225423,-30.89032563548554
10.07,73.01544252393039,-105.16177939554157,2.7996543128970814,-29.34668255871413
10.600000000000001,74.96995671349045,-105.40808675180415,2.8926214544172435,-27.545508583896467
11.13,77.14154019343384,-105.62818945565125,2.9975746667273357,-25.489074595490067
11.66,79.591839456723,-105.82438072302219,3.1152549329711627,-23.11728633332804
12.19,82.32554720110974,-105.9945723177388,3.245306155712961,-20.4237189609161
12.72,85.4144178228672,-106.14296622732161,3.38892828897508,-17.339620115479335
13.250000000000002,88.88793192780072,-106.27239524853498,3.5439767240096254,-13.840486596724622
13.780000000000001,92.83393517226921,-106.38635425363405,3.712709303762044,-9.839709777602781
14.31,97.33255238460731,-106.49721922720943,3.8896010272074926,-5.275065815394606
