Radius (nm),Exchange Interaction (kJ/m3),DM Interaction (kJ/m3),Demagnetization (kJ/m3),Total Energy (kJ/m3)
0.0,0.5842518295733594,0.0,-0.8484374687837181,-0.264185639210358
0.53,0.5842518295733596,0.0,-0.8484374687837177,-0.26418563921035815
1.06,0.591013775465039,0.0,-0.8408605564605173,-0.24984678099547836
1.59,0.6000011688401103,0.0,-0.8307770485902719,-0.23077587975016153
2.12,0.6146716879016517,0.0,-0.8152306787698906,-0.20055899086823892
2.6500000000000004,0.6323352209461353,0.0,-0.7968013663970712,-0.16446614545093585
3.18,0.6553712696609684,0.0,-0.7737721222037891,-0.11840085254282061
3.7100000000000004,0.6816074793303233,0.0,-0.7480247176626793,-0.06641723833235598
4.24,0.7129311322229009,0.0,-0.7184828442654536,-0.005551712042552816
4.7700000000000005,0.7474824322790422,0.0,-0.6865948180344484,0.06088761424459387
5.300000000000001,0.7873346039512146,0.0,-0.6519293062402115,0.13540529771100326
5.83,0.8306755870212353,0.0,-0.6155551659873374,0.21512042103389745
6.36,0.8789451281290136,0.0,-0.5774820844311152,0.3014630436978987
6.890000000000001,0.9304493665835929,0.0,-0.5384513836477739,0.3919979829358188
7.420000000000001,0.9867698795120711,0.0,-0.49887223073072884,0.4878976487813421
7.95,1.0461581300311755,0.0,-0.45918507298009426,0.5869730570510813
8.48,1.108763844701658,0.0,-0.4201819068281503,0.6885819378735073
9.010000000000002,1.1731308685537898,0.0,-0.382015677825539,0.7911151907282508
9.540000000000001,1.238943919048884,0.0,-0.3456023506205191,0.8933415684283648
10.07,1.3050823729350365,0.0,-0.3108623574858631,0.9942200154491736
10.600000000000001,1.3708818119144754,0.0,-0.27895009854992936,1.0919317133645463
11.13,1.4355353501362547,0.0,-0.2495609059831049,1.1859744441531497
11.66,1.4975963448845062,0.0,-0.22389254928633448,1.273703795598171
12.19,1.5567439951148268,0.0,-0.2014662185407635,1.3552777765740638
12.72,1.611385851960511,0.0,-0.1834502689492396,1.4279355830112719
13.250000000000002,1.6616488472410553,0.0,-0.169247866191379,1.4924009810496768
13.780000000000001,1.7060034757219402,0.0,-0.15997333511521375,1.5460301406067265
14.31,1.7449979558815345,0.0,-0.15495442832585854,1.5900435275556757
14.840000000000002,1.7775605532449839,0.0,-0.15520203293432092,1.6223585203106634
15.370000000000001,1.8045682716621627,0.0,-0.16001637563857748,1.644551896023585
15.9,1.8249600825614076,0.0,-0.1702798743861703,1.6546802081752376
16.430000000000003,1.8399101506216222,0.0,-0.18531298980691527,1.6545971608147065
16.96,1.8488708986572973,0.0,-0.20584804522964315,1.6430228534276539
17.49,1.8532087111411821,0.0,-0.23123532086269166,1.6219733902784912
18.020000000000003,1.8528721157422086,0.0,-0.26207111627906604,1.5908009994631422
18.55,1.8492796894223782,0.0,-0.2976989561580658,1.5515807332643128
19.080000000000002,1.8425583978857496,0.0,-0.33855864782865175,1.503999750057098
19.610000000000003,1.8341266553710776,0.0,-0.3839823346764201,1.4501443206946578
20.14,1.8247728209236533,0.0,-0.43423351393429654,1.3905393069893572
20.67,1.815655280552073,0.0,-0.48866026385160555,1.3269950167004674
21.200000000000003,1.808223583899702,0.0,-0.5474265181856248,1.2607970657140772
21.73,1.8031301143969143,0.0,-0.6098961768987498,1.1932339374981649
22.26,1.801411861335893,0.0,-0.6760962421831868,1.1253156191527063
22.79,1.8033901765734806,0.0,-0.7453997864651177,1.0579903901083623
23.32,1.8100311906460889,0.0,-0.8177300482102446,0.9923011424358441
23.85,1.8213584492481294,0.0,-0.8925015811856752,0.9288568680624544
24.38,1.8383241148929346,0.0,-0.9695511848111166,0.868772930081818
24.910000000000004,1.8607610199448592,0.0,-1.0483100453239949,0.8124509746208645
25.44,1.8889438300698247,0.0,-1.1285044410182505,0.7604393890515746
25.97,1.9226517210026404,0.0,-1.2096103213942737,0.7130413996083667
26.500000000000004,1.9626667668389508,0.0,-1.2912293245631383,0.6714374422758123
27.03,2.0085567920672953,0.0,-1.3729482115637446,0.635608580503551
27.560000000000002,2.0608837235671977,0.0,-1.4542451462530317,0.6066385773141659
28.090000000000003,2.1190720799677876,0.0,-1.534823421032496,0.5842486589352917
28.62,2.183311762837131,0.0,-1.613950878091426,0.5693608847457048
29.150000000000002,2.253044562898361,0.0,-1.6914426404049019,0.5616019224934589
29.680000000000003,2.3288301811253382,0.0,-1.7664921972998178,0.562337983825521
30.210000000000004,2.4099169601517225,0.0,-1.839026079850977,0.5708908803007454
30.740000000000002,2.4970762306185863,0.0,-1.9080740541323191,0.5890021764862676
31.270000000000003,2.5893555431452735,0.0,-1.9737093695505763,0.6156461735946973
31.8,2.6870337028472093,0.0,-2.0347875552796393,0.6522461475675693
32.33,2.7890203381127523,0.0,-2.0914944848128125,0.6975258532999399
32.86000000000001,2.895317634758189,0.0,-2.142629116906909,0.7526885178512809
33.39,3.0047050728501215,0.0,-2.188453606663662,0.8162514661864589
33.92,3.117202768180476,0.0,-2.2276555411200047,0.8895472270604715
34.45,3.231519981636004,0.0,-2.2606093440782895,0.9709106375577149
34.98,3.346911248418699,0.0,-2.2860022539903935,1.0609089944283052
35.510000000000005,3.4622378636536735,0.0,-2.3042310917853728,1.1580067718683003
36.040000000000006,3.5765769485855077,0.0,-2.3139380576887265,1.262638890896781
36.57,3.6890238157122015,0.0,-2.315593818164844,1.3734299975473576
37.1,3.7983425963992734,0.0,-2.3078288204937834,1.4905137759054907
37.63,3.903949092178701,0.0,-2.291094937133769,1.6128541550449316
38.160000000000004,4.004489106392729,0.0,-2.2639963277076953,1.7404927786850328
38.690000000000005,4.099733686184501,0.0,-2.22696869112756,1.872764995056941
39.220000000000006,4.188838846064467,0.0,-2.1786053293695664,2.0102335166949
39.75,4.2717687969873674,0.0,-2.119326052107832,2.152442744879535
40.28,4.346852827566864,0.0,-2.0477852290933805,2.299067598473484
40.81,4.4145179354216175,0.0,-1.9645348620571983,2.449983073364419
41.34,4.4729833013504505,0.0,-1.867963209690284,2.6050200916601667
41.870000000000005,4.523155474669543,0.0,-1.7588267195663023,2.7643287551032407
42.400000000000006,4.563429691876257,0.0,-1.6355831837289796,2.9278465081472778
42.93,4.595061337432582,0.0,-1.499051817255103,3.0960095201774775
43.46,4.616284173802152,0.0,-1.3476568998724667,3.268627273929686
43.99,4.6285283208387,0.0,-1.182427473742856,3.4461008470958436
44.52,4.630650249948294,0.0,-1.0016255571184343,3.62902469282986
