Radius (nm),Exchange Interaction (kJ/m3),DM Interaction (kJ/m3),Demagnetization (kJ/m3),Total Energy (kJ/m3)
0.0,40.22420613944677,-56.937136800636914,5.739951306950608,-10.972979354239525
0.53,40.22420613944677,-56.93713680063691,5.739951306950608,-10.972979354239524
1.06,40.288827571698135,-56.93361964966126,5.747428208718451,-10.897363869244666
1.59,40.37464015571401,-56.928720260807594,5.757434427138683,-10.796645677954903
2.12,40.510113875839956,-56.91632613675199,5.773605084320118,-10.632607176591922
2.6500000000000004,40.671477615685134,-56.89937507142471,5.793218047957857,-10.434679407781719
3.18,40.87830055535389,-56.87064897459176,5.819047001857292,-10.173301417380584
3.7100000000000004,41.11196361527489,-56.83437880375495,5.848924830471108,-9.873490358008958
4.24,41.386408520250335,-56.77994813380954,5.8855021326821255,-9.508037480877082
4.7700000000000005,41.686741311263184,-56.71399467749616,5.926882935284966,-9.100370430947992
5.300000000000001,42.027910052251606,-56.6210185230559,5.975349084755631,-8.617759386048672
5.83,42.396684008206385,-56.51089822645269,6.029280608160841,-8.084933610085473
6.36,42.80892753311574,-56.37133797628061,6.090726799107117,-7.471683644057736
6.890000000000001,43.25161177772661,-56.21340579549236,6.1583385137901665,-6.80345550397558
7.420000000000001,43.74283101980207,-56.02592262217799,6.2335521947893335,-6.0495394075865825
7.95,44.26857444639196,-55.8196316548116,6.315355846808374,-5.235701361611279
8.48,44.84569842445415,-55.5817715316508,6.40442417619517,-4.331648931001484
9.010000000000002,45.45887550603333,-55.322829144633616,6.500061020900319,-3.3638926176999777
9.540000000000001,46.124161209805486,-55.034843508507606,6.601853560464287,-2.308828738237826
10.07,46.8247397191774,-54.72635817798348,6.709381397222764,-1.192237061583311
10.600000000000001,47.573268979767896,-54.387253874667024,6.820846808819809,0.006861913920680409
11.13,48.351912673113596,-54.02515300658714,6.935946449003674,1.2627061155301311
11.66,49.16712943188704,-53.63203175812755,7.051109339174155,2.5862070129336443
12.19,50.00106706801257,-53.21503228196329,7.165853225119613,3.951888011168906
12.72,50.853330509533855,-52.769020700906346,7.274679058816625,5.358988867444135
13.250000000000002,51.707597330621944,-52.30096745934971,7.37660714086506,6.783237012137306
13.780000000000001,52.55386835444061,-51.809588219589045,7.463994809948493,8.208274944800072
14.31,53.37932466217901,-51.30163230209129,7.5351629638784665,9.612855323966176
14.840000000000002,54.1654804926126,-50.78226758135075,7.580632213140039,10.963845124401896
15.370000000000001,54.905460357591124,-50.25794228725973,7.598076786533817,12.245594856865212
15.9,55.573056153919815,-49.73874600551345,7.577010299676931,13.411320448083295
16.430000000000003,56.169759538233514,-49.23012670239489,7.514949147877157,14.454581983715778
16.96,56.66497863797105,-48.74656382858055,7.4022690129701525,15.320683822360657
17.49,57.071100511992256,-48.29155043282761,7.237806087555358,16.017356166719996
18.020000000000003,57.358126867527105,-47.8808403090261,7.0148760766877825,16.492162635188798
18.55,57.55069905925237,-47.514483445656566,6.735967166649976,16.77218278024578
19.080000000000002,57.62448882734618,-47.2077345938668,6.399777474734451,16.816531708213823
19.610000000000003,57.61411178001282,-46.95471056921435,6.013889759756167,16.673290970554632
20.14,57.501076648782885,-46.76621131397128,5.583261633670279,16.318126968481874
20.67,57.32476415138815,-46.630211671815104,5.119942192150545,15.814494671723601
21.200000000000003,57.0724732631,-46.55365915199679,4.633778235926349,15.152592347029561
21.73,56.781192417378314,-46.52068160558321,4.138071750110316,14.39858256190542
22.26,56.44503781653168,-46.53714419883162,3.643551343480781,13.551444961180849
22.79,56.09302163965648,-46.586228889758786,3.161571661244811,12.668364411142516
23.32,55.719002959597596,-46.67168462624017,2.70045432275039,11.747772656107811
