Radius (nm),Exchange Interaction (kJ/m3),DM Interaction (kJ/m3),Demagnetization (kJ/m3),Total Energy (kJ/m3)
0.0,3.5834334415891167,0.0,-2.5328917774586235,1.0505416641304934
0.53,3.583433441589117,0.0,-2.5328917774586235,1.0505416641304934
1.06,3.5937420067205483,0.0,-2.506633216910386,1.0871087898101621
1.59,3.607390915451868,0.0,-2.4716754781790278,1.13571543727284
2.12,3.6276346835372895,0.0,-2.4171535404536884,1.2104811430836007
2.6500000000000004,3.6511909201511026,0.0,-2.352246420454622,1.2989444996964816
3.18,3.6813602232986935,0.0,-2.2698215474024974,1.4115386758961963
3.7100000000000004,3.715312768232029,0.0,-2.1769092081679307,1.538403560064098
4.24,3.754727814449844,0.0,-2.068453648760042,1.686274165689802
4.7700000000000005,3.7974312266537558,0.0,-1.9501461876159343,1.8472850390378224
5.300000000000001,3.846317813236154,0.0,-1.818521783421827,2.027796029814327
5.83,3.899161374110536,0.0,-1.678221083539386,2.22094029057115
6.36,3.9569810638557428,0.0,-1.527363880323785,2.4296171835319575
6.890000000000001,4.0179406498043955,0.0,-1.3696097396769102,2.648330910127485
7.420000000000001,4.083301072134817,0.0,-1.2043448827219037,2.878956189412914
7.95,4.151410436686355,0.0,-1.0342999810512714,3.1171104556350837
8.48,4.223630946416094,0.0,-0.8602853874659129,3.3633455589501806
9.010000000000002,4.298312620876767,0.0,-0.6841162932655048,3.614196327611262
9.540000000000001,4.3750159530253825,0.0,-0.5077844061569473,3.8672315468684353
10.07,4.4525557282645725,0.0,-0.3321842053580706,4.120371522906502
10.600000000000001,4.5301320959290425,0.0,-0.1604576673189093,4.369674428610133
11.13,4.606995030850587,0.0,0.0074169932234681825,4.614412024074055
11.66,4.681003596353593,0.0,0.16753697264294848,4.848540568996542
12.19,4.752030074423843,0.0,0.32075113374388453,5.072781208167727
12.72,4.817953892694934,0.0,0.4627075832853682,5.2806614759803026
13.250000000000002,4.8790606484298245,0.0,0.594971681225698,5.474032329655522
13.780000000000001,4.932395380827826,0.0,0.7131414051640459,5.6455367859918715
14.31,4.9787485645207425,0.0,0.8193874018203982,5.798135966341142
14.840000000000002,5.015470844451013,0.0,0.9096292155448961,5.925100059995909
15.370000000000001,5.043835615516176,0.0,0.9864611194415087,6.030296734957685
15.9,5.062171377070716,0.0,1.0465172918031989,6.108688668873915
16.430000000000003,5.0720695617451,0.0,1.0925868739689613,6.164656435714062
16.96,5.072156720647319,0.0,1.1223156446200706,6.194472365267389
17.49,5.064387616753831,0.0,1.1384713746612556,6.202858991415087
18.020000000000003,5.048833929253173,0.0,1.139662282421808,6.1884962116749795
18.55,5.027554141809167,0.0,1.1285464208288687,6.156100562638037
19.080000000000002,5.00140994060021,0.0,1.1048080335528805,6.106217974153091
19.610000000000003,4.972218747540469,0.0,1.0707975401392091,6.043016287679678
20.14,4.940916337876576,0.0,1.0270127085032814,5.967929046379858
20.67,4.908965633793619,0.0,0.9753805446510451,5.884346178444664
21.200000000000003,4.878231306708672,0.0,0.9171344598708875,5.795365766579559
21.73,4.849538292931982,0.0,0.8536540241201556,5.703192317052137
22.26,4.823599433750109,0.0,0.7866780784326135,5.610277512182724
22.79,4.800892506215686,0.0,0.7170512290440169,5.517943735259704
23.32,4.7830330224363795,0.0,0.6467218696723745,5.429754892108752
23.85,4.76993953021455,0.0,0.5760092348967489,5.3459487651113
24.38,4.763340204701849,0.0,0.5069455905661177,5.2702857952679665
24.910000000000004,4.762738318505924,0.0,0.4394357606253109,5.202174079131235
25.44,4.7691097723291485,0.0,0.3753598960391406,5.144469668368289
25.97,4.781725666470445,0.0,0.31431903601445,5.096044702484895
26.500000000000004,4.80223251115375,0.0,0.25807362509646253,5.060306136250213
27.03,4.829546685227564,0.0,0.2059531132243215,5.0354997984518866
27.560000000000002,4.864838017570964,0.0,0.15951618829818698,5.024354205869151
28.090000000000003,4.906843043358553,0.0,0.1179390064959154,5.024782049854468
28.62,4.9571616535584475,0.0,0.08250843904473071,5.0396700926031786
29.150000000000002,5.014394977470297,0.0,0.052362409974793266,5.066757387445091
29.680000000000003,5.079738527640255,0.0,0.02854326347746616,5.1082817911177205
30.210000000000004,5.151741789049073,0.0,0.010189553348801025,5.161931342397873
30.740000000000002,5.231112515842295,0.0,-0.0018296728018271265,5.229282843040467
31.270000000000003,5.316497894816871,0.0,-0.008355309851389039,5.3081425849654815
31.8,5.409259225535056,0.0,-0.008651694891693889,5.400607530643362
32.33,5.508017190374697,0.0,-0.003479864833386258,5.50453732554131
32.86000000000001,5.612615760647928,0.0,0.007760842488332149,5.620376603136259
33.39,5.721861045657094,0.0,0.024422441608832203,5.746283487265926
33.92,5.8360823412989085,0.0,0.04710274818605039,5.883185089484958
34.45,5.954061604294764,0.0,0.0752184329532367,6.029280037248001
34.98,6.0752035412715015,0.0,0.10936433300445457,6.184567874275956
35.510000000000005,6.198525456786188,0.0,0.14907940570319858,6.347604862489385
36.040000000000006,6.3229453092824235,0.0,0.1950722145751908,6.518017523857616
36.57,6.447657581261566,0.0,0.24688219882707077,6.694539780088636
37.1,6.572304003136984,0.0,0.3053396810602387,6.877643684197224
37.63,6.695989807446048,0.0,0.3700112689813491,7.066001076427397
38.160000000000004,6.817560625521047,0.0,0.441823361403547,7.259383986924594
38.690000000000005,6.936285119196234,0.0,0.5203385079631346,7.4566236271593676
39.220000000000006,7.051322042394414,0.0,0.6066424752440367,7.65796451763845
39.75,7.162109584377797,0.0,0.7002822122340718,7.8623917966118695
40.28,7.267860704848502,0.0,0.802337434948008,8.07019813979651
40.81,7.368262331879141,0.0,0.9122203309331169,8.280482662812258
41.34,7.462048497856283,0.0,1.0311513103092858,8.493199808165567
41.870000000000005,7.549317151376799,0.0,1.158409806356192,8.707726957732993
42.400000000000006,7.628853631889794,0.0,1.2950253559974387,8.923878987887234
42.93,7.701265632479985,0.0,1.440335548625254,9.141601181105239
43.46,7.765083503901085,0.0,1.5951433626034575,9.360226866504542
43.99,7.821301179675285,0.0,1.758741309558251,9.580042489233536
44.52,7.868663413979471,0.0,1.9318305170839645,9.800493931063436
45.050000000000004,7.908666875111474,0.0,2.113616954291409,10.022283829402884
45.58,7.940080047538208,0.0,2.304495882481565,10.244575930019773
46.11,7.964821412123889,0.0,2.5039001402523438,10.468721552376232
46.64,7.981376165288139,0.0,2.7118479413929695,10.69322410668111
47.17,7.991827247201393,0.0,2.927776144926719,10.919603392128112
47.7,7.995119075260669,0.0,3.151695109449349,11.146814184710019
48.230000000000004,7.993308868474117,0.0,3.383113556868947,11.376422425343065
48.76,7.985221470042818,0.0,3.621658526766116,11.606879996808933
49.29,7.972692829448456,0.0,3.8669374715489444,11.8396303009974
49.82000000000001,7.9546785944102885,0.0,4.118518344224452,12.073196938634739
50.35,7.932638042917346,0.0,4.376059404888661,12.308697447806006
50.88,7.9056628309782,0.0,4.638910314816514,12.544573145794715
51.410000000000004,7.874761441573983,0.0,4.906665725531543,12.781427167105525
51.94,7.838418257333827,0.0,5.178629220698683,13.01704747803251
52.470000000000006,7.7973843037311354,0.0,5.454358152633562,13.251742456364697
53.00000000000001,7.750146430111628,0.0,5.733135385085261,13.48328181519689
53.53,7.697258248551917,0.0,6.014526411382811,13.71178465993473
54.06,7.637649241963743,0.0,6.297704762349026,13.935354004312769
54.59,7.571988211351841,0.0,6.582306774097767,14.15429498544961
55.120000000000005,7.499602479547068,0.0,6.867574903964558,14.367177383511626
55.650000000000006,7.421511498850078,0.0,7.153199299764974,14.574710798615055
56.18000000000001,7.337731219150377,0.0,7.438540867777841,14.776272086928218
56.71,7.249544234009449,0.0,7.723350596041503,14.972894830050953
57.24,7.157594704985671,0.0,8.007100209908744,15.164694914894413
57.77,7.063062898492226,0.0,8.289616775025316,15.352679673517539
58.300000000000004,6.966658402886558,0.0,8.570543245723965,15.537201648610521
58.830000000000005,6.869233267441848,0.0,8.849836917824392,15.719070185266238
59.36000000000001,6.771167909240477,0.0,9.127253451538065,15.898421360778542
59.89,6.672984825924681,0.0,9.40286382845266,16.07584865437734
60.42000000000001,6.574805852860499,0.0,9.676576855584798,16.2513827084453
60.95,6.4767711020922105,0.0,9.948563541094558,16.425334643186766
61.480000000000004,6.378656784378357,0.0,10.21887666908786,16.597533453466216
62.01,6.280174561550681,0.0,10.487811872028157,16.767986433578837
62.540000000000006,6.181102301511092,0.0,10.75540101575491,16.936503317266002
63.07000000000001,6.080792492981507,0.0,11.021971205390201,17.102763698371707
63.6,5.978918622526401,0.0,11.28763261649354,17.26655123901994
64.13000000000001,5.874545598316205,0.0,11.553050700224567,17.42759629854077
64.66,5.7675249479062565,0.0,11.818164056272291,17.585689004178544
65.19,5.657138056806472,0.0,12.083707185201092,17.740845242007563
65.72000000000001,5.543330730799553,0.0,12.349961421760018,17.893292152559575
66.25,5.425887778826936,0.0,12.618081064051545,18.04396884287848
66.78,5.305816002062017,0.0,12.888333986087588,18.194149988149604
67.31,5.183447658102377,0.0,13.162855174581775,18.34630283268415
67.84,5.061577353837905,0.0,13.441468513017657,18.503045866855565
68.37,4.940820754448856,0.0,13.729079387143575,18.669900141592432
68.9,4.846807383442638,0.0,14.038190425617378,18.884997809060017
69.43,4.835121561862936,0.0,14.359634670657728,19.194756232520668
