Radius (nm),Exchange Interaction (kJ/m3),DM Interaction (kJ/m3),Demagnetization (kJ/m3),Total Energy (kJ/m3)
0.0,4.68718264437102,0.0,4.173640913691906,8.860823558062924
0.53,4.68718264437102,0.0,4.173640913691907,8.860823558062926
1.06,4.6993441564684355,0.0,4.1831083082082685,8.882452464676703
1.59,4.715505286357087,0.0,4.195723628191661,8.911228914548747
2.12,4.739185028044771,0.0,4.2150157759795075,8.954200804024278
2.6500000000000004,4.766783801189963,0.0,4.237878962165103,9.004662763355068
3.18,4.799697545682214,0.0,4.266486118831583,9.066183664513797
3.7100000000000004,4.835818234188389,0.0,4.29857336818864,9.134391602377029
4.24,4.875594474106537,0.0,4.335290509367033,9.21088498347357
4.7700000000000005,4.91790352084307,0.0,4.374964952040523,9.292868472883594
5.300000000000001,4.962108691083069,0.0,4.41792982551402,9.38003851659709
5.83,5.008002838465568,0.0,4.462990401354437,9.470993239820006
6.36,5.054161158862033,0.0,4.5094413005675635,9.563602459429598
6.890000000000001,5.1009960448694045,0.0,4.5565702429203,9.657566287789706
7.420000000000001,5.147571781193505,0.0,4.602689929978949,9.750261711172454
7.95,5.19437919078465,0.0,4.647570101968644,9.841949292753295
8.48,5.239643653613765,0.0,4.688648907410653,9.928292561024417
9.010000000000002,5.283932351864935,0.0,4.726133183634771,10.010065535499706
9.540000000000001,5.325157950881571,0.0,4.756604675552732,10.081762626434301
10.07,5.36395643620137,0.0,4.7807014025427,10.14465783874407
10.600000000000001,5.397983478993346,0.0,4.7944058681780515,10.192389347171398
11.13,5.42809444288353,0.0,4.7987651383264565,10.226859581209984
11.66,5.45146575508932,0.0,4.78932961596691,10.24079537105623
12.19,5.469328287718317,0.0,4.767566824059835,10.236895111778152
12.72,5.479987364135334,0.0,4.728999083201819,10.208986447337152
13.250000000000002,5.484719843004834,0.0,4.6755103601805095,10.160230203185343
13.780000000000001,5.482145075859234,0.0,4.602969846314474,10.085114922173709
14.31,5.473524303873593,0.0,4.513680756341124,9.987205060214716
14.840000000000002,5.458351924452686,0.0,4.404090654694259,9.862442579146945
15.370000000000001,5.437758256225531,0.0,4.276967809672743,9.714726065898274
15.9,5.4120542124392825,0.0,4.129575791108196,9.541630003547478
16.430000000000003,5.382121670554698,0.0,3.9650011716888702,9.347122842243568
16.96,5.349907038721307,0.0,3.7816367267914544,9.13154376551276
17.49,5.315958078262928,0.0,3.5828191392467867,8.898777217509714
18.020000000000003,5.2823829168435354,0.0,3.368054848334075,8.650437765177609
18.55,5.24948463006496,0.0,3.1408765025868486,8.390361132651808
19.080000000000002,5.219211511163922,0.0,2.901684938508865,8.120896449672788
19.610000000000003,5.191659275202063,0.0,2.65400983940648,7.845669114608543
20.14,5.169244657902599,0.0,2.3990607982871635,7.568305456189762
20.67,5.1517562632828175,0.0,2.140049748375592,7.291806011658408
21.200000000000003,5.140994855218862,0.0,1.8788523064363845,7.019847161655246
21.73,5.136366778474273,0.0,1.6181581421441391,6.754524920618413
22.26,5.1394932435243526,0.0,1.3601864646855673,6.4996797082099205
22.79,5.149467105923816,0.0,1.107025203056317,6.256492308980132
23.32,5.167480563087083,0.0,0.8610423504479012,6.028522913534983
23.85,5.1924265322944745,0.0,0.6235404022944608,5.815966934588935
24.38,5.224872234723773,0.0,0.3968542249102369,5.6217264596340115
24.910000000000004,5.263722076763183,0.0,0.181692552427328,5.44541462919051
25.44,5.310104453309384,0.0,-0.01983001439098094,5.290274438918403
25.97,5.362831212670167,0.0,-0.20770735139080007,5.155123861279366
26.500000000000004,5.422571202787328,0.0,-0.37987494420147716,5.042696258585851
27.03,5.488137777551356,0.0,-0.5369707102413157,4.95116706731004
27.560000000000002,5.559810279100625,0.0,-0.6770887214659347,4.88272155763469
28.090000000000003,5.636610308529587,0.0,-0.8013861003214942,4.835224208208092
28.62,5.7192454153223125,0.0,-0.9082445582258832,4.811000857096429
29.150000000000002,5.806744493536149,0.0,-0.9990279915931972,4.807716501942952
29.680000000000003,5.899638350581242,0.0,-1.0722859070980817,4.827352443483161
30.210000000000004,5.996963314370032,0.0,-1.1296982355814698,4.867265078788562
30.740000000000002,6.099504122717941,0.0,-1.1699390274628974,4.929565095255043
31.270000000000003,6.206218419060884,0.0,-1.1948778503242667,5.011340568736616
31.8,6.317245763902616,0.0,-1.2033919201855912,5.113853843717023
32.33,6.431621728365383,0.0,-1.1973442792414988,5.234277449123884
32.86000000000001,6.548873765951849,0.0,-1.175863332574812,5.373010433377036
33.39,6.668245805348736,0.0,-1.1408541716108,5.5273916337379365
33.92,6.788843163535204,0.0,-1.091513501857996,5.697329661677208
34.45,6.91033010473877,0.0,-1.0297826427496293,5.880547461989139
34.98,7.031287519867581,0.0,-0.9549925244521132,6.076294995415468
35.510000000000005,7.152033218951469,0.0,-0.8689868710931418,6.283046347858327
36.040000000000006,7.271605990699078,0.0,-0.7711747182231826,6.500431272475896
36.57,7.390800201341967,0.0,-0.6633049826449504,6.727495218697015
37.1,7.508694664287325,0.0,-0.5448509067707594,6.963843757516567
37.63,7.626223608813495,0.0,-0.4174441555731703,7.208779453240325
38.160000000000004,7.7424697178207955,0.0,-0.2804836898718395,7.461986027948957
38.690000000000005,7.858201987430576,0.0,-0.13547943676344687,7.72272255066713
39.220000000000006,7.973060708521976,0.0,0.01817606389382244,7.991236772415798
39.75,8.087222312754339,0.0,0.17901019336868415,8.266232506123021
40.28,8.200293135841004,0.0,0.34768044826556693,8.54797358410657
40.81,8.31179019459863,0.0,0.522668438033794,8.834458632632426
41.34,8.420837715390723,0.0,0.7046918082186505,9.125529523609375
41.870000000000005,8.526643606712296,0.0,0.8922246437069765,9.418868250419273
42.400000000000006,8.628788154462823,0.0,1.086263989986298,9.71505214444912
42.93,8.726147693630516,0.0,1.2850385141705667,10.011186207801082
43.46,8.818538386287077,0.0,1.4896841896358195,10.308222575922896
43.99,8.904763154067869,0.0,1.698487989531593,10.603251143599461
44.52,8.98475249670792,0.0,1.9125596185060203,10.897312115213941
45.050000000000004,9.057413705469079,0.0,2.1302844062442996,11.18769811171338
45.58,9.122929309834845,0.0,2.3526729035514076,11.475602213386255
46.11,9.179973310718555,0.0,2.5782399339665196,11.758213244685077
46.64,9.228803870496096,0.0,2.807913211055115,12.03671708155121
47.17,9.268186160801102,0.0,3.040335171300723,12.308521332101824
47.7,9.298353550846358,0.0,3.276366902500387,12.574720453346746
48.230000000000004,9.318192367520748,0.0,3.5146933211470763,12.832885688667824
48.76,9.328081933596959,0.0,3.75611556064829,13.084197494245247
49.29,9.3271111082495,0.0,3.9994790547923156,13.326590163041818
49.82000000000001,9.315587344197544,0.0,4.245393344705226,13.56098068890277
50.35,9.292978323363773,0.0,4.4929150520264995,13.785893375390275
50.88,9.259300079329991,0.0,4.742442545653689,14.001742624983681
51.410000000000004,9.214657938007285,0.0,4.993231415126105,14.207889353133389
51.94,9.15913623632644,0.0,5.245562840962602,14.404699077289044
52.470000000000006,9.093428416456163,0.0,5.4988274415821685,14.592255858038328
53.00000000000001,9.017559451305987,0.0,5.753124072178028,14.770683523484013
53.53,8.932847962051708,0.0,6.008023793738444,14.940871755790154
54.06,8.839518123239356,0.0,6.263457452451664,15.10297557569102
54.59,8.739260843606424,0.0,6.519123041238413,15.258383884844838
55.120000000000005,8.632311941810496,0.0,6.774774578551876,15.407086520362373
55.650000000000006,8.520663406664468,0.0,7.030160783928242,15.55082419059271
56.18000000000001,8.404088683658255,0.0,7.284922769098639,15.689011452756896
56.71,8.284768844212541,0.0,7.538829531574924,15.823598375787464
57.24,8.162221622483782,0.0,7.791366992769472,15.953588615253254
57.77,8.038487188617076,0.0,8.042358494292246,16.080845682909324
58.300000000000004,7.912585604289143,0.0,8.291124070168648,16.20370967445779
58.830000000000005,7.7862080842021735,0.0,8.537556637906881,16.323764722109054
59.36000000000001,7.6581646504308765,0.0,8.780933247645974,16.43909789807685
59.89,7.529823070231287,0.0,9.02122433958947,16.55104740982076
60.42000000000001,7.39995069544039,0.0,9.257699572282531,16.657650267722925
60.95,7.269535009811507,0.0,9.490440855789274,16.75997586560078
61.480000000000004,7.137434215954378,0.0,9.718635030388173,16.85606924634255
62.01,7.004356719704678,0.0,9.942324197052622,16.9466809167573
62.540000000000006,6.869526453494455,0.0,10.160729550899195,17.03025600439365
63.07000000000001,6.733214774590816,0.0,10.374135093213347,17.10734986780416
63.6,6.594799981968271,0.0,10.581658158907064,17.176458140875337
64.13000000000001,6.454175526897508,0.0,10.783648930286521,17.23782445718403
64.66,6.310991362551485,0.0,10.979389508935935,17.29038087148742
65.19,6.16496240995331,0.0,11.169602944791253,17.334565354744562
65.72000000000001,6.016257127601216,0.0,11.35351681480712,17.369773942408337
66.25,5.864814191013157,0.0,11.532392966926697,17.397207157939853
66.78,5.711785588432101,0.0,11.705537718563118,17.417323306995222
67.31,5.55774470528094,0.0,11.875117727998617,17.43286243327956
67.84,5.40532740499414,0.0,12.040065013089505,17.445392418083642
68.37,5.255718207463859,0.0,12.205381732564291,17.461099940028152
68.9,5.20002948231491,0.0,12.313590196500055,17.51361967881497
69.43,5.79047492917409,0.0,11.991097084023625,17.781572013197717
