Radius (nm),Exchange Interaction (kJ/m3),DM Interaction (kJ/m3),Demagnetization (kJ/m3),Total Energy (kJ/m3)
0.0,0.8000683157557827,0.0,3.663024284895378,4.4630926006511595
0.53,0.8000683157557831,0.0,3.6630242848953762,4.4630926006511595
1.06,0.8070340436614173,0.0,3.6602049119902755,4.467238955651693
1.59,0.8163002553546966,0.0,3.6564182865303048,4.472718541885001
2.12,0.8302909807026421,0.0,3.650428178070229,4.48071915877287
2.6500000000000004,0.8467719518306972,0.0,3.6431721809316544,4.489944132762351
3.18,0.8668101038444284,0.0,3.633221762421916,4.500031866266344
3.7100000000000004,0.8889367354706255,0.0,3.621471996947807,4.510408732418432
4.24,0.9131192657770102,0.0,3.6065103460002743,4.519629611777284
4.7700000000000005,0.9385166159738753,0.0,3.589231432294865,4.52774804826874
5.300000000000001,0.9647540301265751,0.0,3.568013102884573,4.5327671330111485
5.83,0.9914357084674575,0.0,3.5438234495934644,4.5352591580609225
6.36,1.0184325094055513,0.0,3.514633372761029,4.53306588216658
6.890000000000001,1.045502197756156,0.0,3.4815853140421633,4.527087511798318
7.420000000000001,1.0719533291652317,0.0,3.442637029520004,4.514590358685235
7.95,1.0977782714332467,0.0,3.3990578549272845,4.496836126360531
8.48,1.1227123380836619,0.0,3.3484134674519357,4.471125805535598
9.010000000000002,1.1468300095018154,0.0,3.2921687691633306,4.4389987786651455
9.540000000000001,1.1699976752623167,0.0,3.228016488971871,4.398014164234189
10.07,1.1923047148533579,0.0,3.1575332488354,4.349837963688758
10.600000000000001,1.2133607182474813,0.0,3.0784400569185495,4.291800775166031
11.13,1.2333736420010146,0.0,2.992395520103532,4.225769162104547
11.66,1.2522678481396732,0.0,2.897403539143204,4.149671387282877
12.19,1.2702076119671568,0.0,2.795151500865537,4.065359112832695
12.72,1.2866538139129664,0.0,2.6840192771178053,3.970673091030772
13.250000000000002,1.3018850445013805,0.0,2.5656677652208457,3.8675528097222265
13.780000000000001,1.3157687449934625,0.0,2.438701757643988,3.7544705026374503
14.31,1.3285668933453363,0.0,2.3047581519397733,3.63332504528511
14.840000000000002,1.3407300240058084,0.0,2.162846421804674,3.5035764458104826
15.370000000000001,1.3523170496037642,0.0,2.014566134147586,3.3668831837513506
15.9,1.3636390993145937,0.0,1.859279150063055,3.222918249377649
16.430000000000003,1.3747355809611763,0.0,1.6984628414157927,3.0731984223769695
16.96,1.3863583948622793,0.0,1.5316673679546695,2.9180257628169493
17.49,1.3984876029142206,0.0,1.3602757881275491,2.75876339104177
18.020000000000003,1.4121590757734654,0.0,1.1841885031444663,2.5963475789179324
18.55,1.4272513432223497,0.0,1.0047080688105015,2.4319594120328514
19.080000000000002,1.4447238280043293,0.0,0.8218713305435997,2.2665951585479296
19.610000000000003,1.464424978773819,0.0,0.6368986484440678,2.101323627217887
20.14,1.4875277450155011,0.0,0.45008548620480376,1.937613231220305
20.67,1.5137937706561115,0.0,0.262474174501493,1.7762679451576044
21.200000000000003,1.5440086504198742,0.0,0.07455861173231362,1.6185672621521878
21.73,1.5779610859593245,0.0,-0.11280794292278339,1.4651531430365416
22.26,1.6160950378745924,0.0,-0.29910967786303944,1.3169853600115526
22.79,1.6583424478494673,0.0,-0.4836442265115519,1.1746982213379153
23.32,1.7051357542208703,0.0,-0.6657399314825334,1.0393958227383364
23.85,1.756402794346723,0.0,-0.8449039517072935,0.9114988426394299
24.38,1.8118532631964992,0.0,-1.020345495443453,0.7915077677530458
24.910000000000004,1.8715307769188203,0.0,-1.191712669194212,0.6798181077246094
25.44,1.934879727588492,0.0,-1.358176769541573,0.5767029580469194
25.97,2.0018968601867795,0.0,-1.5195679925646048,0.48232886762217486
26.500000000000004,2.0721379298183447,0.0,-1.6748452978764963,0.3972926319418488
27.03,2.1454658552982098,0.0,-1.824059346311066,0.3214065089871443
27.560000000000002,2.2215798617976206,0.0,-1.9661371036841615,0.2554427581134595
28.090000000000003,2.300177173762919,0.0,-2.101307567710056,0.19886960605286216
28.62,2.3809626871695877,0.0,-2.228385940492259,0.15257674667732893
29.150000000000002,2.463600750252463,0.0,-2.3477046490233606,0.11589610122910227
29.680000000000003,2.5483211799179415,0.0,-2.4581409496589326,0.0901802302590086
30.210000000000004,2.634693448996457,0.0,-2.5601633418786234,0.07453010711783328
30.740000000000002,2.7225068790754396,0.0,-2.6526427260892484,0.0698641529861907
31.270000000000003,2.8113451971234604,0.0,-2.7361519864797677,0.07519321064369322
31.8,2.9006099679076343,0.0,-2.8094898704577353,0.09112009744989867
32.33,2.990073468916575,0.0,-2.873259207262714,0.11681426165386076
32.86000000000001,3.079660060465364,0.0,-2.926473292580724,0.1531867678846401
33.39,3.1691314622854367,0.0,-2.969749296914324,0.19938216537111317
33.92,3.2573648303633758,0.0,-3.0020553163760257,0.2553095139873499
34.45,3.3444889566808076,0.0,-3.024031544111701,0.32045741256910665
34.98,3.429598190881158,0.0,-3.034729736800384,0.39486845408077426
35.510000000000005,3.513208093264662,0.0,-3.034717561421565,0.4784905318430966
36.040000000000006,3.594679906622969,0.0,-3.0230995315234637,0.5715803750995048
36.57,3.6746755023009037,0.0,-3.0004296278943117,0.6742458744065913
37.1,3.7524321251095873,0.0,-2.9658558717664416,0.7865762533431455
37.63,3.8285840254032033,0.0,-2.919904307395795,0.9086797180074088
38.160000000000004,3.902864393436434,0.0,-2.8617922767241515,1.0410721167122818
38.690000000000005,3.9756061998519336,0.0,-2.792023468937722,1.1835827309142117
39.220000000000006,4.04608641975377,0.0,-2.7098767275388305,1.3362096922149402
39.75,4.114410684873378,0.0,-2.6158912386681084,1.4985194462052693
40.28,4.1796930892780235,0.0,-2.5093553718728794,1.6703377174051448
40.81,4.241848139422318,0.0,-2.391023359056331,1.850824780365988
41.34,4.300300103719059,0.0,-2.260029221856413,2.0402708818626456
41.870000000000005,4.354867103379741,0.0,-2.117326611262015,2.2375404921177258
42.400000000000006,4.405198909626223,0.0,-1.961940392914578,2.443258516711645
42.93,4.450954304263862,0.0,-1.7951359053166591,2.6558183989472037
43.46,4.4918658409505765,0.0,-1.6158509416794584,2.876014899271119
43.99,4.527669949048605,0.0,-1.4254424712153637,3.102227477833241
44.52,4.5585818802026274,0.0,-1.2227476338165637,3.3358342463860633
45.050000000000004,4.584350156566548,0.0,-1.0093069155996994,3.5750432409668496
45.58,4.6053491983401,0.0,-0.7840630108007914,3.8212861875393096
46.11,4.621135053493022,0.0,-0.5484863862898498,4.072648667203172
46.64,4.632266475677005,0.0,-0.30153948727019375,4.330726988406812
47.17,4.638332275083638,0.0,-0.04479050238483937,4.593541772698798
47.7,4.6402593455103505,0.0,0.222888408835844,4.863147754346195
48.230000000000004,4.6375176159931195,0.0,0.4997391434196819,5.137256759412798
48.76,4.630633955366269,0.0,0.7870483634266667,5.417682318792936
49.29,4.619261034097795,0.0,1.0830986009855144,5.70235963508331
49.82000000000001,4.604105552019347,0.0,1.389339500698731,5.993445052718079
50.35,4.584860661938497,0.0,1.7040831376893348,6.288943799627832
50.88,4.5622112543326,0.0,2.028836210546684,6.591047464879284
51.410000000000004,4.535927537204475,0.0,2.361944444458962,6.897871981663436
51.94,4.506062737312611,0.0,2.705152892954077,7.211215630266688
52.470000000000006,4.472660848927493,0.0,3.0567919720786336,7.529452821006127
53.00000000000001,4.435589212892442,0.0,3.418813304162011,7.854402517054451
53.53,4.395009478558411,0.0,3.7896383905846367,8.184647869143049
54.06,4.350742967089831,0.0,4.171215742823089,8.521958709912921
54.59,4.3031980344691885,0.0,4.56210879848039,8.865306832949578
55.120000000000005,4.25215506183,0.0,4.964355052417046,9.216510114247047
55.650000000000006,4.198256017224531,0.0,5.37649513352944,9.57475115075397
56.18000000000001,4.141369624933595,0.0,5.800741459915972,9.942111084849568
56.71,4.082313483620894,0.0,6.235553193558626,10.31786667717952
57.24,4.020961521545495,0.0,6.683040060920955,10.704001582466452
57.77,3.9581440629478197,0.0,7.141906269946775,11.100050332894595
58.300000000000004,3.893575513671067,0.0,7.614217405418599,11.507792919089667
58.830000000000005,3.827873394331515,0.0,8.098573864496403,11.926447258827919
59.36000000000001,3.7609249455899594,0.0,8.597210521420331,12.35813546701029
59.89,3.6931211007305906,0.0,9.10885964047498,12.80198074120557
60.42000000000001,3.624146390347466,0.0,9.635609716413986,13.259756106761456
60.95,3.554094506982251,0.0,10.176404350217062,13.730498857199313
61.480000000000004,3.4823618472216404,0.0,10.734101080983248,14.216462928204889
62.01,3.4087891760213584,0.0,11.30753538138932,14.71632455741068
62.540000000000006,3.3326776729624323,0.0,11.899545758921356,15.232223431883792
63.07000000000001,3.2536478266176556,0.0,12.509542142300132,15.76318996891779
63.6,3.170783466482624,0.0,13.141610824305117,16.31239429078774
64.13000000000001,3.0835377977534164,0.0,13.795455117755246,16.87899291550866
64.66,2.990980516237318,0.0,14.477006286449889,17.467986802687207
65.19,2.8929728394923298,0.0,15.186839455868261,18.07981229536059
65.72000000000001,2.7886747610865457,0.0,15.93400269895462,18.72267746004117
